COMPUTE	SCALAR	X86	DEC	DEC
COMPUTE	SCALAR	X86	SUB	SUB
COMPUTE	SCALAR	X86	INC	INC
COMPUTE	SCALAR	X86	ADD	ADD
COMPUTE	SCALAR	X86	SUB	SUB
COMPUTE	SCALAR	X86	INC	INC
COMPUTE	SCALAR	X86	ADD	ADD
COMPUTE	SCALAR	X86	INC	INC
COMPUTE	SCALAR	X86	INC	INC


OTHERS	SIMD	SSE	LD	MOVHPDQ
OTHERS	SIMD	SSE	LD+MUL	MULPDX
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	LD	MOVHPDQ
OTHERS	SIMD	SSE	LD+MUL	MULPDX
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	LD	MOVHPDQ
OTHERS	SIMD	SSE	LD+MUL	MULPDX
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	LD	MOVHPDQ
OTHERS	SIMD	SSE	LD+MUL	MULPDX
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	ADD	ADDPD
OTHERS	SIMD	SSE	UNPACK	UNPCKHPD
OTHERS	SCALAR	SSE	LD	MOVSDQ
OTHERS	SCALAR	SSE	LD+MUL	MULSDQ
OTHERS	SCALAR	SSE	ADD	ADDSD
OTHERS	SCALAR	SSE	MOV	MOVSD
OTHERS	SCALAR	SSE	LD	MOVSDQ
OTHERS	SCALAR	SSE	LD	MOVSDQ
OTHERS	SCALAR	SSE	LD	MOVSDQ
OTHERS	SCALAR	SSE	LD	MOVSDQ
OTHERS	SCALAR	SSE	ADD	ADDSD
OTHERS	SCALAR	SSE	LD	MOVSDQ
OTHERS	SCALAR	SSE	LD+MUL	MULSDQ
OTHERS	SCALAR	SSE	ADD	ADDSD
OTHERS	SCALAR	SSE	ST	MOVSDQ
OTHERS	SIMD	SSE	MOV	MOVAPS
OTHERS	SIMD	SSE	MOV	MOVAPS
OTHERS	SIMD	SSE	MOV	MOVAPS
OTHERS	SIMD	SSE	MOV	MOVAPS
OTHERS	SIMD	SSE	MOV	MOVAPS
OTHERS	SIMD	SSE	MOV	MOVAPS
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	NEG	NEG
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	CMP	CMP
OTHERS	SCALAR	X86	LD	MOVL
OTHERS	SCALAR	MMX	XOR	PXOR
OTHERS	SCALAR	X86	MOV	MOVSXD
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	N/A	X86	BRANCH	JL
OTHERS	N/A	X86	BRANCH	JL
OTHERS	SCALAR	X86	MOV	LEAQ
OTHERS	SCALAR	X86	MOV	LEAQ
OTHERS	SCALAR	X86	AND	AND
OTHERS	SCALAR	X86	LOGICAL COMPARE	TEST
OTHERS	N/A	X86	BRANCH	JZ
OTHERS	SCALAR	X86	LOGICAL COMPARE	TEST
OTHERS	N/A	X86	BRANCH	JNZ
OTHERS	SCALAR	X86	MOV	MOV
OTHERS	SCALAR	X86	MOV	MOV
OTHERS	SCALAR	X86	MOV	LEAQ
OTHERS	N/A	X86	BRANCH	JL
OTHERS	SCALAR	X86	MOV	MOV
OTHERS	SCALAR	X86	XOR	XOR
OTHERS	SCALAR	X86	AND	AND
OTHERS	SCALAR	X86	MOV	LEAQ
OTHERS	SCALAR	X86	MOV	MOVSXD
OTHERS	SCALAR	X86	LOGICAL COMPARE	TEST
OTHERS	N/A	X86	BRANCH	JBE
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	N/A	X86	BRANCH	JB
OTHERS	SCALAR	X86	MOV	MOV
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	N/A	X86	BRANCH	JB
OTHERS	N/A	X86	BRANCH	JNB
OTHERS	SCALAR	X86	MOV	LEAQ
OTHERS	SCALAR	X86	MOV	LEAQ
OTHERS	SCALAR	X86	LD	MOVSXDL
OTHERS	N/A	X86	BRANCH	JB
OTHERS	N/A	X86	BRANCH	JB
OTHERS	SCALAR	X86	XOR	XOR
OTHERS	N/A	X86	BRANCH	JMP
